data_size(MB),time(ms)
20,1.394
121,8.118
200,13.549
420,28.166
78,5.290
120,8.032
220,14.869
57,3.941
46,3.262
60,4.086
70,4.759
40,2.502
242,16.350
400,26.799
840,56.027
157,10.573
240,16.220
440,29.452
114,7.672
160,10.836
93,6.244
140,9.434
80,5.462
484,32.415
800,53.371
1680,111.784
314,21.126
263,17.735
880,58.650
229,15.545
320,21.515
480,32.126
186,12.608
173,11.694
280,18.869
968,64.517
1600,106.491
2560,1000000000.000
628,41.950
960,63.944
1760,117.033
458,30.652
640,42.775
373,25.036
560,37.434
