data_size(MB),time(ms)
20,1.365
121,7.075
200,11.542
420,24.002
78,4.652
220,12.682
57,3.423
120,6.966
46,2.874
60,3.603
70,4.150
40,2.455
242,13.890
400,22.912
840,47.782
157,9.073
240,13.821
440,25.110
114,6.668
160,9.243
93,5.513
140,8.112
80,4.714
484,27.623
800,45.505
1680,95.345
314,18.023
480,27.385
880,50.032
229,13.144
320,18.287
186,10.805
173,10.050
280,16.056
968,55.007
1600,90.966
2560,145.207
628,35.756
960,54.545
1760,99.864
458,26.182
640,36.428
373,21.288
560,31.930
