data_size(MB),time(ms)
20,1.195
121,13.150
200,10.417
420,17.297
78,8.843
120,16.708
220,9.425
57,6.455
46,5.409
5,1.404
70,7.810
40,1.870
242,12.607
400,16.331
840,34.321
157,22.017
240,11.753
440,18.255
114,16.082
160,11.962
93,13.472
140,15.076
80,8.716
484,23.428
800,38.878
1680,68.477
314,15.429
480,23.468
880,35.568
229,11.216
320,13.141
186,25.847
173,18.661
280,11.563
968,46.354
1600,64.254
2560,1000000000.000
628,30.445
960,45.813
1360,64.805
458,22.268
640,30.821
373,18.066
560,22.742
