data_size(MB),time(ms)
20,0.955
121,12.778
200,15.929
420,43.828
78,8.364
120,17.085
220,23.256
57,6.182
46,5.091
5,1.165
70,7.465
40,1.555
242,34.176
400,41.557
840,86.731
157,22.360
240,34.007
440,45.826
114,16.343
160,12.879
93,13.324
140,14.798
80,8.564
484,67.689
800,110.998
1680,172.791
314,43.961
480,67.142
880,90.682
229,32.445
320,33.348
186,26.551
173,18.338
280,29.443
968,134.441
1600,164.359
2560,352.971
628,87.506
960,133.018
1360,187.363
458,64.118
640,89.190
373,52.497
560,57.911
