data_size(MB),time(ms)
10,1.125
60,4.724
100,8.123
410,31.406
38,3.190
210,16.643
27,2.650
110,8.751
21,1.941
30,2.515
20,1.638
120,9.209
200,15.913
820,62.489
76,5.979
420,32.270
54,4.305
80,6.191
220,17.424
43,3.622
40,3.507
240,18.514
400,30.650
1640,1000000000.000
152,11.656
840,64.381
108,8.362
160,12.326
440,33.768
86,6.683
480,37.454
800,61.792
3280,1000000000.000
304,24.187
1680,1000000000.000
216,16.676
320,25.035
830,65.502
172,13.690
195,15.250
