data_size(MB),time(ms)
16,1.114
96,5.628
160,9.229
416,23.779
62,3.759
216,12.399
45,2.746
116,6.759
36,2.257
11,0.952
66,3.921
32,2.035
192,11.030
320,18.342
832,47.302
124,7.209
432,24.674
90,5.283
128,7.462
232,13.327
73,4.349
132,7.690
64,3.828
384,21.931
640,36.435
1664,94.602
248,14.227
864,49.187
180,10.359
256,14.895
464,26.502
146,8.467
264,15.172
768,43.659
1280,72.672
3328,188.647
496,28.335
608,34.647
1728,98.060
360,20.547
928,52.745
292,16.730
528,30.092
