data_size(MB),time(ms)
16,1.454
96,7.894
160,11.844
416,23.996
62,4.049
216,12.796
45,3.112
64,4.978
116,7.299
36,2.585
48,3.224
66,5.351
32,2.844
192,14.707
320,21.066
832,47.488
124,10.069
432,24.834
90,7.410
128,9.891
232,13.578
73,6.122
132,10.254
384,26.675
640,44.338
1664,1000000000.000
248,17.477
864,49.383
180,13.973
256,17.950
464,26.653
146,11.473
264,15.374
768,53.566
1280,1000000000.000
3328,1000000000.000
496,34.878
608,41.864
1728,1000000000.000
360,25.413
928,53.392
292,20.904
528,30.688
