data_size(MB),time(ms)
16,2.187
96,9.860
160,14.883
416,24.887
62,6.565
216,15.361
45,4.956
116,9.216
36,4.055
11,1.692
66,7.159
32,3.591
192,17.530
320,25.799
832,10.777
124,12.341
432,5.984
90,9.224
128,12.773
232,3.685
73,7.637
132,13.542
64,6.671
384,31.486
640,49.222
1664,124.540
248,20.893
864,66.018
180,16.564
256,20.848
464,35.623
146,14.040
264,4.458
768,60.462
1280,96.153
3328,246.789
496,40.131
1728,129.391
360,29.328
928,70.414
292,24.975
528,40.779
