search_time (s),config time (ms)
0,162468.2351887989
1,113452.25815587575
2,107981.84445095641
3,107032.67064206267
4,100145.36109474715
5,100096.19229706266
7,100079.88561006266
10,96739.89232306267
16,96146.99936610647
27,96146.99936610647
36,96739.89232306267
43,96739.89232306267
44,96739.89232306267
50,96739.89232306267
53,96739.89232306267
63,96746.60223306267
72,96746.60223306267
82,97417.09703245084
83,97417.77844129308
89,97646.85598095642
104,97646.17457211418
112,97646.17457211418
121,97417.77844129308
134,97417.09703245084
135,98460.22520764901
143,97417.77844129308
151,96746.60223306267
155,98466.935117649
156,98466.935117649
161,98473.645027649
170,98473.645027649
176,100063.57892306267
177,100063.57892306267
182,100070.28883306266
186,100070.28883306266
187,100070.28883306266
190,100070.28883306266
191,100070.28883306266
204,99664.31047810646
210,99664.31047810646
216,100063.57892306267
217,100063.57892306267
226,100073.17570006267
230,100079.88561006266
231,100079.88561006266
232,100079.88561006266
233,100079.88561006266
234,100079.88561006266
235,100082.09106822043
236,100086.59552006266
237,100086.59552006266
238,100086.59552006266
239,100095.51088822042
240,100095.51088822042
241,100096.53887474046
242,100145.36109474715
243,100145.36109474715
244,100145.36109474715
245,101895.4668653335
246,104761.17312674716
247,104767.88303674717
248,105419.72014964902
249,105436.02683664902
250,105436.02683664902
251,105436.02683664902
252,105436.02683664902
253,105436.37341432682
254,105436.37341432682
255,105436.37341432682
256,105436.37341432682
257,105481.9713563335
258,105485.19563433349
259,105485.19563433349
260,106045.10973464092
261,106045.10973464092
262,106047.31519279869
263,106124.11389274715
264,106124.11389274715
265,107016.36395506267
266,107016.36395506267
267,107016.36395506267
268,107023.07386506267
269,107023.07386506267
270,107025.27932322043
271,107025.27932322043
272,107025.27932322043
273,107025.27932322043
274,107025.27932322043
275,107025.96073206267
276,107025.96073206267
277,107025.96073206267
278,107025.96073206267
279,107025.96073206267
280,107025.96073206267
281,107025.96073206267
282,107025.96073206267
283,107031.98923322043
284,107032.67064206267
285,107032.67064206267
286,107032.67064206267
287,107032.67064206267
