search_time (s),config time (ms)
0,111970.33684554033
1,53177.5635954291
2,30797.55060637348
3,29851.675026373483
4,28570.25015455011
5,28570.25015455011
6,29484.867522550107
7,28570.25015455011
8,28570.25015455011
9,28570.25015455011
10,28570.25015455011
11,28570.25015455011
12,29484.867522550107
13,29484.867522550107
14,29484.867522550107
15,29484.867522550107
16,29484.867522550107
17,29851.675026373483
18,29851.675026373483
19,29851.675026373483
20,29851.675026373483
21,29851.675026373483
22,30174.530853550114
23,30174.530853550114
24,30174.530853550114
25,30174.530853550114
26,30174.530853550114
27,30797.55060637348
28,30797.55060637348
29,30797.55060637348
30,30797.55060637348
31,30797.55060637348
32,30926.034083368955
33,30926.034083368955
34,30926.034083368955
35,30926.034083368955
36,30926.034083368955
37,31007.52648841137
38,31007.52648841137
39,31007.52648841137
40,31007.52648841137
41,31007.52648841137
42,31552.20857137348
43,31552.20857137348
44,31552.20857137348
45,31552.20857137348
46,31552.20857137348
47,31954.550441368956
48,31954.550441368956
49,31954.550441368956
50,31954.550441368956
51,31954.550441368956
52,32699.68420636895
53,32699.68420636895
54,32699.68420636895
55,32699.68420636895
56,32699.68420636895
57,53017.71472186733
58,53017.71472186733
59,53017.71472186733
60,53017.71472186733
61,53177.5635954291
62,53177.5635954291
63,53177.5635954291
64,53177.5635954291
65,53177.5635954291
66,54533.089718429095
67,54533.089718429095
68,54533.089718429095
69,54533.089718429095
70,54533.089718429095
71,111970.33684554033
72,111970.33684554033
73,111970.33684554033
74,111970.33684554033
75,111970.33684554033
76,113804.28633654032
77,113804.28633654032
78,113804.28633654032
79,113804.28633654032
80,115363.15235561723
81,115363.15235561723
82,115363.15235561723
83,115363.15235561723
84,30312.21155441137
85,30312.21155441137
86,30312.21155441137
87,30312.21155441137
88,30312.21155441137
89,29396.071995411367
90,29396.071995411367
91,29396.071995411367
92,29396.071995411367
93,29396.071995411367
