data_size(MB),time(ms)
8,0.650
48,3.315
80,5.456
408,27.421
30,2.132
11,1.002
208,14.078
21,1.526
108,7.256
16,1.258
24,1.821
58,3.971
96,6.433
160,10.797
816,54.541
60,4.108
416,27.845
42,2.967
64,4.386
216,14.638
33,2.349
116,7.802
32,2.034
192,13.016
320,21.534
1632,108.633
120,8.054
832,55.520
84,5.657
128,8.593
432,28.967
66,4.502
232,15.751
640,42.771
3136,1000000000.000
384,25.795
1600,106.338
168,11.338
256,17.270
864,57.711
132,8.886
464,31.061
