data_size(MB),time(ms)
8,0.683
48,3.206
80,6.337
408,26.753
30,2.221
208,13.905
21,1.733
32,2.768
108,8.402
16,1.462
11,1.416
58,4.724
96,7.839
160,11.800
816,46.561
60,5.058
416,23.953
42,3.662
64,4.954
216,12.669
33,2.971
116,7.263
192,14.752
320,21.110
1632,1000000000.000
120,9.378
832,47.437
84,6.693
128,9.873
432,24.838
66,5.353
232,13.570
640,44.278
3136,1000000000.000
240,16.826
384,26.686
1664,1000000000.000
168,12.948
256,17.910
864,49.281
132,10.226
464,26.648
