data_size(MB),time(ms)
8,0.600
48,5.168
80,8.220
408,31.433
30,3.428
208,17.282
21,2.590
32,3.664
108,10.964
16,2.156
24,2.875
58,6.118
96,9.827
160,15.225
816,47.212
60,6.314
416,24.846
42,4.634
64,6.761
216,15.317
33,3.720
116,9.100
192,17.558
320,26.010
1632,20.240
120,11.825
832,10.796
84,8.713
128,12.808
432,5.974
66,6.953
232,3.708
384,31.212
640,49.020
3136,237.733
240,21.885
1664,124.449
168,16.393
256,20.991
864,65.213
132,13.417
152,14.683
464,35.979
