data_size(MB),time(ms)
10,1.093
60,5.738
100,9.169
410,38.704
38,3.882
210,20.080
27,2.948
40,3.979
110,10.267
21,2.519
13,1.730
20,1.892
120,11.325
200,19.288
820,1000000000.000
76,7.172
420,40.064
54,5.277
80,7.537
220,21.307
43,4.286
240,23.121
400,37.899
1640,1000000000.000
152,14.364
840,1000000000.000
108,10.056
160,15.086
440,42.247
86,7.971
480,45.223
800,1000000000.000
3080,1000000000.000
304,28.908
398,37.552
1680,1000000000.000
216,20.755
263,25.331
880,1000000000.000
172,16.312
