data_size(MB),time(ms)
10,0.713
60,3.984
100,7.821
410,26.907
38,2.637
210,13.985
27,2.050
40,3.383
110,8.554
21,1.783
13,1.498
20,0.905
120,9.716
200,14.019
820,46.847
76,6.284
420,24.176
54,4.642
80,6.155
220,12.933
43,3.801
240,16.808
400,26.147
1640,1000000000.000
152,11.783
840,47.971
108,8.466
160,12.325
440,25.359
86,6.883
480,33.102
800,55.059
3080,1000000000.000
304,21.265
398,27.554
1680,1000000000.000
216,15.174
263,18.372
880,50.210
172,13.266
