search_time (s),config time (ms)
0,28534.110352989614
1,21616.849309989615
2,19496.874306677975
3,16288.693932110262
4,15430.550350864969
5,15422.50396004729
16,15422.50396004729
18,15422.45165104729
25,15422.45165104729
36,15422.45165104729
41,15419.24710358951
44,15419.24710358951
48,15422.45165104729
57,15422.45165104729
60,15422.96185558951
64,15423.173155864968
65,15423.173155864968
72,15423.173155864968
78,15422.45165104729
87,15422.45165104729
92,15419.24710358951
95,15419.24710358951
101,15419.24710358951
102,15422.50396004729
103,15422.50396004729
104,15423.173155864968
105,15423.173155864968
109,15423.173155864968
110,15423.173155864968
115,15423.173155864968
122,15423.173155864968
123,15423.173155864968
124,15423.173155864968
125,15423.173155864968
129,15423.173155864968
130,15423.173155864968
135,15423.173155864968
137,15426.16640304729
140,15426.16640304729
141,15426.16640304729
143,15426.83559886497
149,15423.173155864968
156,15422.50396004729
160,15422.45165104729
164,15423.173155864968
165,15423.173155864968
169,15423.173155864968
170,15423.173155864968
173,15466.045226193144
174,15466.045226193144
177,15469.249773650923
180,15469.249773650923
181,15469.249773650923
188,15469.249773650923
193,15469.249773650923
194,15469.302082650924
199,15469.249773650923
203,15469.249773650923
211,15423.173155864968
216,15423.173155864968
222,15423.173155864968
223,15469.249773650923
227,15469.302082650924
231,15469.302082650924
233,15469.759978193144
235,15469.759978193144
237,15472.964525650923
240,15469.249773650923
241,15472.964525650923
242,15472.964525650923
245,15472.964525650923
246,15472.964525650923
247,15472.964525650923
248,15472.964525650923
249,15472.964525650923
250,15472.964525650923
251,15472.964525650923
252,15472.964525650923
253,15472.964525650923
254,15472.964525650923
255,15472.964525650923
256,15472.964525650923
257,15472.964525650923
258,15472.964525650923
259,15472.964525650923
260,15472.964525650923
261,15472.964525650923
262,15476.626968650922
263,15476.626968650922
264,15476.626968650922
265,15477.137173193143
266,15656.465761514997
267,15656.465761514997
268,15656.465761514997
269,15656.465761514997
270,15656.465761514997
271,15656.465761514997
272,15656.465761514997
273,15656.465761514997
274,15656.465761514997
275,15656.465761514997
